airline,tokens,airline_sentiment,positive
Virgin America,"['@virginamerica', 'realli', 'aggress', 'blast', 'obnoxi', 'entertain', 'guest', 'face', 'littl', 'recours']",negative,0
Virgin America,"['@virginamerica', 'realli', 'big', 'bad', 'thing']",negative,0
Virgin America,"['@virginamerica', 'serious', 'would', 'pay', '30', 'flight', 'seat', 'play', 'realli', 'bad', 'thing', 'fli', 'va']",negative,0
Virgin America,"['@virginamerica', 'amaz', 'arriv', 'hour', 'earli', 'good']",positive,1
Virgin America,"['@virginamerica', '<3', 'pretti', 'graphic', 'much', 'better', 'minim', 'iconographi', ':d']",positive,1
Virgin America,"['@virginamerica', 'great', 'deal', '!', 'alreadi', 'think', '2nd', 'trip', '@australia', 'even', 'gone', '1st', 'trip', 'yet', '!', ';p']",positive,1
Virgin America,"['@virginamerica', 'thank', '!']",positive,1
Virgin America,"['@virginamerica', 'excit', 'first', 'cross', 'countri', 'flight', 'lax', 'mco', ""i'v"", 'heard', 'noth', 'great', 'thing', 'virgin', 'america', '#29daystogo']",positive,1
Virgin America,"['@virginamerica', 'flew', 'nyc', 'sfo', 'last', 'week', 'fulli', 'sit', 'seat', 'due', 'two', 'larg', 'gentleman', 'either', 'side', 'help', '!']",negative,0
Virgin America,"['❤', 'fli', '@virginamerica', '☺', '👍']",positive,1
Virgin America,"['@virginamerica', 'know', 'would', 'amazingli', 'awesom', 'bos-fll', 'pleas', '!', '!', '!', 'want', 'fli']",positive,1
Virgin America,"['@virginamerica', 'love', 'graphic', 'http://t.co/ut5grrwaaa']",positive,1
Virgin America,"['@virginamerica', 'love', 'hipster', 'innov', 'feel', 'good', 'brand']",positive,1
Virgin America,"['@virginamerica', 'guy', 'mess', 'seat', '..', 'reserv', 'seat', 'friend', 'guy', 'gave', 'seat', 'away', '...', '😡', 'want', 'free', 'internet']",negative,0
Virgin America,"['@virginamerica', 'statu', 'match', 'program', 'appli', 'three', 'week', 'call', 'email', 'respons']",negative,0
Virgin America,"['@virginamerica', 'happen', '2', 'ur', 'vegan', 'food', 'option', '!', 'least', 'say', 'ur', 'site', 'know', 'abl', '2', 'eat', 'anyth', 'next', '6', 'hr', '#fail']",negative,0
Virgin America,"['@virginamerica', 'amaz', ""can't"", 'get', 'cold', 'air', 'vent', '#vx358', '#noair', '#worstflightev', '#roast', '#sfotobo']",negative,0
Virgin America,"['@virginamerica', 'hi', '!', 'bked', 'cool', 'birthday', 'trip', ""can't"", 'add', 'elev', 'caus', 'enter', 'middl', 'name', 'flight', 'book', 'problem', '😢']",negative,0
Virgin America,"['@virginamerica', 'help', 'left', 'expens', 'headphon', 'flight', '89', 'iad', 'lax', 'today', 'seat', '2a', 'one', 'answer', 'l', 'f', 'number', 'lax', '!']",negative,0
Virgin America,"['@virginamerica', 'await', 'return', 'phone', 'call', 'would', 'prefer', 'use', 'onlin', 'self-servic', 'option', ':(']",negative,0
Virgin America,"['@virginamerica', 'great', 'news', '!', 'america', 'could', 'start', 'flight', 'hawaii', 'end', 'year', 'http://t.co/r8p2zy3fe4', 'via', '@pacificbiznew']",positive,1
Virgin America,"['@virginamerica', 'moodlight', 'way', 'fli', '!', 'best', 'experi', 'ever', '!', 'cool', 'calm', '💜', '✈', '#moodlitmonday']",positive,1
Virgin America,"['@virginamerica', '@freddieaward', 'done', 'done', '!', 'best', 'airlin', 'around', 'hand', '!']",positive,1
Virgin America,"['@virginamerica', 'chat', 'support', 'work', 'site', 'http://t.co/vhp2gtdwpk']",negative,0
Virgin America,"['@virginamerica', ""i'm"", '#elevategold', 'good', 'reason', 'rock', '!', '!']",positive,1
Virgin America,"['@virginamerica', 'wow', 'blew', 'mind']",positive,1
Virgin America,"['@virginamerica', 'know', 'need', 'spotifi', 'stat', '#guiltypleasur']",positive,1
Virgin America,"['@virginamerica', 'call', '3-4', 'week', 'ago', 'ad', '3', 'flight', '2014', 'elev', '...', 'still', 'shown', '...', 'help', '!']",negative,0
Virgin America,"['@virginamerica', '@ladygaga', '@carrieunderwood', 'love', 'three', 'realli', ""can't"", 'beat', 'classic', '!']",positive,1
Virgin America,"['@virginamerica', 'heyyyi', 'guyyyi', '..', 'tri', 'get', 'hour', 'someon', 'call', 'pleas', ':/']",negative,0
Virgin America,"['@virginamerica', 'hi', 'virgin', '!', ""i'm"", 'hold', '40-50', 'minut', 'earlier', 'flight', 'la', 'nyc', 'tonight', 'earlier', '11:50', 'pm']",negative,0
Virgin America,"['@virginamerica', 'everyth', 'fine', 'lost', 'bag']",negative,0
Virgin America,"['@virginamerica', 'airlin', 'awesom', 'lax', 'loft', 'need', 'step', 'game', '40', 'dirti', 'tabl', 'floor', 'http://t.co/hy0vrfhjht']",negative,0
Virgin America,"['@virginamerica', 'worri', 'great', 'ride', 'new', 'plane', 'great', 'crew', 'airlin', 'like']",positive,1
Virgin America,"['@virginamerica', 'awesom', 'flew', 'yall', 'sat', 'morn', 'way', 'correct', 'bill']",positive,1
Virgin America,"['@virginamerica', 'go', 'custom', 'servic', 'anyway', 'speak', 'human', 'asap', 'thank']",negative,0
Virgin America,"['@virginamerica', ""can't"", 'supp', 'biz', 'travel', 'like', '@southwestair', 'custom', 'servic', 'like', '@jetblu', '#neverflyvirginforbusi']",negative,0
Virgin America,"['@virginamerica', ""i'v"", 'appli', 'member', '#inflight', 'crew', 'team', '...', 'im', '100', 'interest', '#flightattend', '#dreampath', 'g']",positive,1
Virgin America,"['@virginamerica', 'interest', 'fli', 'cancel', 'flight', 'next', 'four', 'flight', 'plan', '#neverflyvirginforbusi']",negative,0
Virgin America,"['@virginamerica', 'disappoint', 'experi', 'share', 'everi', 'busi', 'travel', 'meet', '#neverflyvirgin']",negative,0
Virgin America,"['@virginamerica', '’', 'troubl', 'ad', 'flight', 'wife', 'book', 'elev', 'account', 'help', 'http://t.co/px8hqoks3r']",negative,0
Virgin America,"['@virginamerica', 'site', 'back']",negative,0
Virgin America,"['@virginamerica', 'like', 'tv', 'interest', 'video', 'disappoint', 'cancel', 'flightl', 'flight', 'flight', 'went', 'jfk', 'saturday']",negative,0
Virgin America,"['@virginamerica', 'land', 'lax', 'hour', 'late', 'flight', 'bag', 'check', 'busi', 'travel', 'friendli', '#nomorevirgin']",negative,0
Virgin America,"['@virginamerica', 'websit', 'btw', 'new', 'websit', 'great', 'user', 'experi', 'time', 'anoth', 'redesign']",negative,0
Virgin America,"['@virginamerica', ""can't"", 'check', 'add', 'bag', 'websit', 'work', ""i'v"", 'tri', 'desktop', 'mobil', 'http://t.co/avyqdmpi1i']",negative,0
Virgin America,"['@virginamerica', 'let', '2', 'scan', 'passeng', 'leav', 'plane', 'told', 'someon', 'remov', 'bag', '1st', 'class', 'bin', '#uncomfort']",negative,0
Virgin America,"['@virginamerica', 'phone', 'number', ""can't"", 'find', 'call', 'flight', 'reserv']",negative,0
Virgin America,"['@virginamerica', 'anyon', 'anyth', 'today', 'websit', 'useless', 'one', 'answer', 'phone']",negative,0
Virgin America,"['@virginamerica', 'must', 'travel', 'miss', 'flight', 'late', 'flight', 'check', 'bag', 'miss', 'morn', 'appoint', 'lost', 'busi', '#sfo2lax']",negative,0
Virgin America,"['@virginamerica', 'late', 'flight', 'bag', 'check', 'lost', 'busi', 'miss', 'flight', 'apt', 'three', 'peopl', 'flight', 'exp']",negative,0
Virgin America,"['@virginamerica', 'amaz', 'custom', 'servic', '!', '💕', '💕', 'raeann', 'sf', 'best', '!', '#customerservic', '#virginamerica', '#fli']",positive,1
Virgin America,"['@virginamerica', 'call', 'servic', 'line', 'hung', 'awesom', '#sarcasm']",negative,0
Virgin America,"['@virginamerica', 'site', 'trip', ""i'm"", 'tri', 'check', ""i'm"", 'get', 'plain', 'text', 'version', 'reluct', 'enter', 'card', 'info']",negative,0
Virgin America,"['@virginamerica', 'concern', 'fli', 'plane', 'need', 'delay', 'due', 'tech', 'stop']",negative,0
Virgin America,"['@virginamerica', 'best', 'airlin', 'flown', 'on.easi', 'chang', 'reserv', 'help', 'repres', 'comfort', 'fli', 'experi']",positive,1
Virgin America,"['@virginamerica', '!', 'anoth', 'rep', 'kick', 'butt', '!', 'naelah', 'repres', 'team', 'beauti', '!', '!', 'thank', '!', '!', '!']",positive,1
Virgin America,"['@virginamerica', 'beauti', 'front-end', 'design', 'right', 'cool', 'still', 'book', 'ticket', 'b', 'c', 'back-end', 'secur']",positive,1
Virgin America,"['@virginamerica', 'love', 'team', 'run', 'gate', 'e9', 'la', 'tonight', 'wait', 'delay', 'flight', 'kept', 'thing', 'entertain']",positive,1
Virgin America,"['@virginamerica', 'flight', 'flight', 'book', 'problem', 'site', 'total', 'folk', 'problem']",negative,0
