airline,tokens,airline_sentiment,positive
US Airways,"['@usairway', 'great', 'way', 'kick', 'someon', 'cancel', 'flight', 'noon', 'flight', 'rebook', 'one', 'two', 'hour', 'south', 'tomorrow']",negative,0
American,"['@americanair', 'cancel', 'flight', 'flight', 'arbitrarili', 'itinerari', 'weekend', 'ruin', 'good', 'reason', '!', 'crew', 'miss', 'monday', 'mtg']",negative,0
Southwest,"['@southwestair', 'would', 'realli', 'like', 'baggag', 'yesterday', 'employe', 'akron', 'give', 'tough', 'time']",negative,0
Southwest,"['@southwestair', 'thank', 'team', 'deal', 'flight', '1700', 'houston']",positive,1
American,"['@americanair', 'much', 'statu', 'ep', '1.5', 'million', 'mile', 'revenu', 'first', 'class', 'ticket', 'im', 'sit', 'coach', 'thank', 'rude', 'cs', 'staff']",negative,0
American,"['@americanair', 'nope', 'make', 'chang', 'onlin', '90', 'min', 'hold', 'time', 'deal', 'w', 'rude', 'rep', '24', 'hour', 'window', 'close']",negative,0
Delta,"['@jetblu', '@kylejudah', 'spoke', 'baggag', 'claim', 'center', 'gave', 'travel', 'credit', 'respons', 'cost']",negative,0
Southwest,"['@southwestair', 'thx', 'quick', 'respons', 'action', '!', 'bf', 'make', 'good', 'use', 'voucher', '#satisfi', '#happycustom']",positive,1
United,"['@unit', 'incompet', 'rude', 'servic', 'today', 'miss', 'connect', 'flight', 'custom', 'servic', 'desk', 'terribl', 'realli', 'upset', 'w', 'untd']",negative,0
American,"['@americanair', '45min', 'wait', 'get', 'de-ic', 'tulsa.not', 'good', 'service.look', 'like', 'everyon', 'miss', 'connect', 'due', 'weather', 'fight']",negative,0
United,"['@unit', 'internet', 'great', 'thing', 'email', 'execut', 'compani', 'mayb', 'respond', 'time', 'manner']",negative,0
American,"['@americanair', 'aa919', 'flight', 'attend', 'freak', 'leav', 'aircraft', 'passeng', 'react', '24h', 'delay', 'cattl', 'treatment', 'surreal', '!']",negative,0
American,"['@americanair', 'flight', '65', 'delay', '4', 'hour', '2/22', 'gf', 'meal', 'despit', 'earli', 'request', 'attend', 'seat', 'fell', 'leg', '#badservic']",negative,0
United,"['@unit', 'perfect', '!', 'thank', '!']",positive,1
Southwest,"['@southwestair', '@fortunemagazin', 'love', 'sw', 'forev', '😃', '💕', '😍', '⤴', '⤴']",positive,1
Southwest,"['@southwestair', 'even', 'gluten', 'free', 'peanut', 'whyyi']",negative,0
American,"['@americanair', 'custom', 'servic', 'deplor', 'disgust', 'compani', 'ignor', 'peopl', 'phone', 'lost', 'baggag']",negative,0
US Airways,"['@usairway', '1', 'agent', 'phx', 'custom', 'servic', 'desk', 'hour', 'ago', 'line', '100', 'peopl', 'long']",negative,0
Southwest,"['@southwestair', 'airport', 'snow', 'remov', 'method', '#22', '..', 'keep', 'good', 'work', 'folk', ""cessna'"", 'becom', '747', '!', 'http://t.co/7pofsxojsi']",positive,1
Southwest,"['@southwestair', 'sent', 'dm', 'continu', 'wait', 'hold', 'rep', 'servic']",negative,0
Southwest,"['@southwestair', 'week', 'valentin', 'day', '..', 'feel', '#luv', 'go', '11', 'hr', '@bwi', 'bag', 'even', 'come', 'w']",negative,0
Southwest,"['@southwestair', 'twice', 'year', 'hard', 'get', 'vacat', 'time', 'work', 'sometim', 'love', 'fli', 'guy', '!']",positive,1
American,"['@americanair', 'absolut', 'wors', 'cust', 'svc', 'ever', 'experienc', '25', 'yr', 'fli', 'supvr', 'iah', 'extrem', 'rude', '#poorservic', '#travel']",negative,0
Southwest,"['@southwestair', 'think', 'great', 'peopl', 'work']",positive,1
United,"['@unit', ""i'm"", 'sure', 'anyth', 'build', 'time', '!', 'promis', 'ceo', 'servic', 'gotten', 'wors', '!']",negative,0
US Airways,"['@usairway', 'miss', 'flight', 'connect', 'due', 'flight', 'attend', 'delay', 'yet', 'voucher', 'part', '#fail']",negative,0
United,"['@unit', 'lack', 'custom', 'servic', 'astound', 'https://t.co/72rmpkogwu', '#2daysofhel']",negative,0
United,"['@unit', 'inquir', 'noth', '...', 'pretend', '’', 'interest', 'respond', 'dm', 'respons', 'back', '...']",negative,0
Delta,"['@jetblu', 'u', 'guy', '2b', 'kid', 'help', 'anywher', '5', 'hour', 'delay', 'still', 'answer', 'bad', 'cust', 'servic', '#idlovetoask', 'http://t.co/dpx3yogtej']",negative,0
United,"['@unit', '@flyana_offici', 'pleasantli', 'surpris', 'find', 'ana', 'made', 'major', 'upgrad', 'transpacif', 'rout', 'flight', 'plane', 'servic']",positive,1
Delta,"['@jetblu', 'fail', ""that'"", 'answer', 'pleas', 'justifi', 'otherwis']",negative,0
United,"['@unit', 'rep', 'rebook', 'wast', 'time', 'poor', 'commun']",negative,0
United,"['@unit', 'ruin', 'day', 'start', 'trip', 'sfo', 'gig', 'leg', 'chang', 'lost', 'paid', 'upgrad', '200', '1st', 'class', 'seat', 'move', 'econ', 'econ']",negative,0
Delta,"['@jetblu', 'horribl', 'experi', 'check', 'agent', 'fort', 'myer', ""i'll"", 'document', 'send', 'detail', 'boston']",negative,0
American,"['@americanair', 'continu', 'get', 'put', 'hold', 'pain', 'inexperienc', 'peopl', 'call', 'platinum', 'desk', '!']",negative,0
American,"['@americanair', '@c2next', 'would', 'great', 'get', 'help', '!', ""i'v"", 'tri', 'sinc', 'last', 'night', 'get']",negative,0
US Airways,"['@usairway', 'get', 'home', 'syracus', '6', 'cancel', 'flightl', 'flight', 'one', 'rout', 'three', 'us', 'sit', 'charlott']",negative,0
United,"['@unit', 'bad', 'ua', 'anoth', 'unforese', 'oper', 'issu', 'return', 'flight']",negative,0
Delta,"['@jetblu', 'ok', 'thank', 'safeti', 'first']",positive,1
United,"['@unit', '@getmeontop', '7', 'week', 'late', 'flightr', 'still', 'receiv', 'mile', 'mileageplu', 'gift', 'card', '150', 'starbuck', 'card', 'hand', '!', '!', '!']",negative,0
American,"['@americanair', 'delay', 'way', 'puerto', 'rico', 'delay', 'way', 'back', 'new', 'york', 'disgrac']",negative,0
Southwest,"['@southwestair', 'rule', 'probabl', 'appli', 'time', 'sometim', '#shouldhaveflownjetblu']",negative,0
US Airways,"['@usairway', 'absolut', 'terribl', 'manag', 'delay', '...', 'delay', 'undelay', 'delay', '6', 'time', '10', 'offic', 'hour']",negative,0
Delta,"['@jetblu', 'book', 'flight', 'jetblu', 'separ', '3yr', 'old', 'mother', 'bit', 'stupid', 'check-in', 'headach', '!']",negative,0
American,"['@americanair', '@nrosenb1', 'allow', 'book', 'avail', 'seat']",negative,0
United,"['@unit', '...', 'could', 'access', 'seat', 'map', 'said', 'would', 'note', 'upgrad', 'itinerari', 'call', 'back', 'late', 'flightr', '...']",negative,0
Southwest,"['@southwestair', 'hold', 'two', 'hour', 'final', 'hung', 'abl', 'need', 'without', 'custom', 'servic', 'eventu']",negative,0
American,"['@americanair', 'wait', 'airport', 'sinc', '11', 'wait', '8:', '30', 'tomorrow', 'cannot', 'get', 'sort', 'help', '!']",negative,0
Delta,"['@jetblu', '#foodallergi', 'commun', 'want', 'continu', 'loyalti', 'need', 'better', 'perhap', 'train', '2/3']",negative,0
US Airways,"['@usairway', 'provid', 'best', 'servic', 'today', '!', 'thank', 'much', ':)']",positive,1
US Airways,"['@usairway', 'anyth', 'done', 'make', 'flight', 'attend', 'awar', 'aa', 'member', 'benefit', 'embarrass', 'argu', 'happen']",negative,0
American,"['@americanair', 'awesom', 'photo', 'thank', 'share', '!', '😁']",positive,1
Southwest,"['@southwestair', 'great', 'flight', 'delay', 'three', 'hour', 'friend', 'wait', 'airport', 'hour', 'birthday', '😒', '👎']",negative,0
Southwest,"['@southwestair', 'hold', '90', 'minut', 'fli', 'answer', 'phone']",negative,0
US Airways,"['@usairway', ""i'v"", 'hold', '40', 'min', 'cancel', 'flight', 'reserv', 'afternoon', 'anoth', 'way', 'web', 'tell', 'call']",negative,0
Delta,"['@jetblu', 'make', 'happi', 'hope', 'empti', 'promis']",positive,1
US Airways,"['@usairway', 'reserv', 'phone', 'number', 'work', 'call', '10x', 'last', '3', 'day', '’', 'gotten']",negative,0
US Airways,"['@usairway', 'thx', 'take', '600', '1way', 'cancel', 'flightl', '1st', 'flt', 'delay', '2nd', 'flt', 'u', 'top', 'lose', 'one', 'piec', 'luggag', '#usuck']",negative,0
US Airways,"['@usairway', ""here'"", 'sit', 'hold', '4', 'hr', 'flight', 'cancel', 'flight', 'disconnect', 'twice', '#fend4urself', '#strand', '#divert']",negative,0
United,"['@unit', 'typic', 'cane', 'respons', 'ua', 'fix', 'crappi', 'perform', 'last', 'place', 'rank', 'airlin', 'centuri', '!']",negative,0
US Airways,"['@usairway', 'never', 'mind', 'could', 'told', 'gate', 'way', 'could', 'delay', '10', 'min', '15']",negative,0
US Airways,"['@usairway', 'strike', '...', 'lost', 'bag', 'two', '#theworst']",negative,0
US Airways,"['@usairway', 'noth', 'avail', 'male', 'flight', 'crew', 'nice', 'dismiss', 'big', 'guy', 'standbi', 'probabl', 'even', 'pay', 'choic']",negative,0
Delta,"['@jetblu', 'alway', 'pleasur', '☺']",positive,1
Southwest,"['@southwestair', 'ye', 'file', 'report', 'treat', 'rather', 'rude', 'midway', 'baggag', 'claim', 'wait', '2', 'day', 'get', 'luggag']",negative,0
US Airways,"['@usairway', 'took', 'mile', 'account', 'told', 'could', 'restor', 'pay', '150', 'open', 'credit', 'card']",negative,0
